"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
-3511.60251292286	-3512.883916803	-3481.88830307812	-3471.12234071235	-3480.77451766082	-3482.37312835105	-3514.21186381182	-3501.74952405038	-3502.65005905476	-3501.11095187204	-3501.1602024289	-3506.95098026222	-3512.09040956686	-3505.45398351332	-3506.28331343331	-3510.5568723565	-3509.71316775555	-3511.80363794298	-3511.83126189593	-3509.65697702211
-3511.60251292286	-3453.66477510994	-3400.69396229585	-3429.58662517655	-3411.71985320137	-3435.06313333036	-3502.95465561356	-3481.13123584377	-3476.49446522012	-3487.08762984431	-3491.33293772065	-3502.73750956281	-3505.76954086037	-3500.23883759161	-3499.5856190507	-3506.84369614765	-3505.63505308226	-3509.85486224537	-3508.53367081394	-3506.4874293287
-3511.60251292286	-3253.82572118683	-3258.12857314735	-3351.86295252714	-3284.33667941908	-3364.74833439611	-3470.49976851402	-3452.82583630238	-3439.52373027804	-3467.99379384688	-3476.5296680733	-3495.13123819039	-3498.41865820586	-3492.49272900392	-3490.00476957959	-3500.88375259523	-3499.20505418529	-3507.09272337054	-3503.74933073284	-3501.83269701585
-3511.60251292286	-3060.06226304617	-2878.41870869386	-3052.80337775304	-2908.66861609123	-2977.29162570183	-3377.84116389483	-3386.54794772701	-3375.97715943272	-3444.00962548784	-3457.49705293633	-3483.20116662486	-3490.01086334318	-3483.34143822983	-3478.6626126934	-3492.08491743962	-3490.59110179547	-3503.11759703902	-3497.69859651276	-3495.9924976116
-3511.60251292286	-3058.65196506421	-2821.48128849791	-2839.12814493846	-2770.11132805392	-2606.49130734204	-3000.08600847757	-3041.70928490483	-3112.56841478919	-3395.0404783969	-3430.84413891966	-3468.08140603861	-3480.78558090441	-3473.9460804038	-3465.64875978323	-3481.59230594318	-3481.03713037977	-3497.74049630088	-3490.97747257138	-3489.95000925956
-3511.60251292286	-3058.65175171855	-2821.20487966255	-2682.41462031197	-2605.82818634836	-2496.16928823895	-2834.76319808652	-2756.75251694681	-2752.95893733837	-3127.0816002849	-3367.58702401718	-3444.75898652078	-3468.90611717056	-3460.4788259123	-3442.27363804234	-3468.28360764393	-3469.89599682269	-3491.99140614142	-3483.70933944917	-3484.35280198525
-3511.60251292286	-3058.65175171304	-2821.20464380357	-2665.52753752098	-2555.420236556	-2473.33769684236	-2670.68210442089	-2579.11863001504	-2618.87907292775	-2670.44261659924	-2906.81626042364	-3377.35648094424	-3443.26147937595	-3425.7814667958	-3358.63257541451	-3435.68283418948	-3451.31946773218	-3486.90287088748	-3474.21540786876	-3478.03058291207
-3511.60251292286	-3058.65175171304	-2821.20464339811	-2665.50157530819	-2554.58163498028	-2471.5976340519	-2568.04085114569	-2472.79196283422	-2549.22600864148	-2502.25825318066	-2604.84075551681	-2900.79400480869	-3324.34467945366	-3223.87584750937	-2844.19546969639	-3202.7109944721	-3408.14006885864	-3481.87386104412	-3458.95260409273	-3467.75537682224
-3511.60251292286	-3058.65175171304	-2821.20464301768	-2665.50154638698	-2554.5787290326	-2471.56681586511	-2516.65418511183	-2413.21036584339	-2475.38621046427	-2407.2246745681	-2491.30973662182	-2656.90204690086	-2990.97069171514	-2799.5761172848	-2729.17145431269	-2796.0925037912	-3096.40974001362	-3474.68791343683	-3427.19137469793	-3443.68084281458
-3511.60251292286	-3058.65175171304	-2821.20464259973	-2665.50153897644	-2554.5787220954	-2471.56650596428	-2437.15116256668	-2377.81393776061	-2417.04647761015	-2352.51594447943	-2420.71709128622	-2518.30939740774	-2774.53038446948	-2677.43765623762	-2551.97410391801	-2711.34503473892	-2776.53814004986	-3459.55500674221	-3182.08734971804	-3335.45579898525
