"","Fit","Data","Iteration DKW","Iteration KS","Iteration Convergence","loglik DKW","Loglik ks","loglik convergence","initial loglik","Average point dist DKW final","Average point dist DKW final","Average point value","Time -1 state","Iterations -1 state","loglik initial -1 state","loglik conv -1 state","in ks initial -1 state","in ks conv -1 state","in ks initial","in ks conv"
"1","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2d"," multimodal_1000obs.csv&1",NA,NA,"32",NA,NA,"-241.624555586399","-252.923713533599","0.531925527189866","0.531925527189866","0.531925527189866",NA,NA,NA,NA,NA,NA,"0.2899","0.3212"
"6","5d"," multimodal_1000obs.csv&1",NA,NA,"293",NA,NA,"-165.370205016955","-241.45269449408","0.521216229406002","0.521216229406002","0.521216229406002",NA,NA,NA,NA,NA,NA,"0.2579","0.3576"
"7","10d"," multimodal_1000obs.csv&1",NA,NA,"722",NA,NA,"-79.3226799259094","-253.112357784163","0.513879706834155","0.513879706834155","0.513879706834155",NA,NA,NA,NA,NA,NA,"0.2784","0.5501"
"8","20d"," multimodal_1000obs.csv&1",NA,NA,"1011",NA,NA,"30.1492257298094","-279.609921284362","0.507708196573145","0.507708196573145","0.507708196573145",NA,NA,NA,NA,NA,NA,"0.2419","0.7449"
"9","2d"," multimodal_100obs.csv&1",NA,NA,"3",NA,NA,"-22.0371313262461","-22.0696672128926","0.526032509124034","0.526032509124034","0.526032509124034",NA,NA,NA,NA,NA,NA,"0.7707","0.7709"
"10","5d"," multimodal_100obs.csv&1",NA,NA,"195",NA,NA,"-14.6337761590738","-22.4706605888337","0.518273522720232","0.518273522720232","0.518273522720232",NA,NA,NA,NA,NA,NA,"0.7669","0.8677"
"11","10d"," multimodal_100obs.csv&1","91","92","261","-9.88713808090219","-9.83432318016824","-5.65292019783547","-24.5014499858527","0.0109095549906354","0.0107255058505093","0.513511578522981",NA,NA,NA,NA,NA,NA,"0.7621","1"
