"","Fit","Data","Iteration DKW","Iteration KS","Iteration Convergence","loglik DKW","Loglik ks","loglik convergence","initial loglik","Average point dist DKW final","Average point dist DKW final","Average point value","Time -1 state","Iterations -1 state","loglik initial -1 state","loglik conv -1 state","in ks initial -1 state","in ks conv -1 state","in ks initial","in ks conv"
"1","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2d"," multimodal_1000obs.csv&1",NA,NA,"19",NA,NA,"-241.608254345359","-244.117095221457","0.531725308992816","0.531725308992816","0.531725308992816","3.55924987792969","194","-299.341330482291","-195.868555951762","0.1662","0.4826","0.399","0.3973"
"6","5d"," multimodal_1000obs.csv&1",NA,NA,"103",NA,NA,"-147.355541790737","-152.6904768346","0.519296070576376","0.519296070576376","0.519296070576376","7.85854816436768","370","-306.642528204545","-147.052194414469","0.1626","0.5991","0.5904","0.5988"
"7","10d"," multimodal_1000obs.csv&1",NA,NA,"70",NA,NA,"-61.2345145365953","-66.1822535070999","0.512916163941196","0.512916163941196","0.512916163941196","32.7303659915924","1060","-307.681757402682","-61.203774993621","0.1623","0.751","0.7979","0.7478"
"8","20d"," multimodal_1000obs.csv&1",NA,NA,"35",NA,NA,"23.400599918348","22.8664060822781","0.507749072988244","0.507749072988244","0.507749072988244","1.56224660078684","1026","-305.857292222347","23.1247384699717","0.1707","0.9803","0.9799","0.9806"
"9","2d"," multimodal_100obs.csv&1",NA,NA,"1",NA,NA,"-22.0008784640718","-22.0103053080452","0.525553822790773","0.525553822790773","0.525553822790773","0.401540040969849","118","-26.7755303495181","-18.8298883924237","0.8968","0.9887","0.9453","0.9454"
"10","5d"," multimodal_100obs.csv&1","1","1","22","-17.0430093692269","-17.0430093692269","-16.72113879892","-17.0685321668338","0.00208200081271631","0.00208200081271631","0.519420989756664","0.564924001693726","151","-27.60486311336","-16.6880582543174","0.8842","1","1","1"
